ppm,LP30 298K,,,,,,,,,LP30 310K,,,,,,,,,LP30 323K,,,,,,,
,500Hz,,1000Hz,,1500Hz,,2000Hz,,,500Hz,,1000,,1500,,2000,,,500,,1000,,1500,,2000,
,exp,fit,exp,fit,exp,fit,exp,fit,Divided by Max of J,exp,fit,exp,fit,exp,fit,exp,fit,,exp,fit,,fit,,fit,,fit
500,1,1,1,1,1,1,1,1,--,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
-290,0.924066997,0.927341811,0.879477105,0.888094119,0.833760717,0.851440883,0.80241308,0.809180066,--,0.907026626,0.903610502,0.843245129,0.84065744,0.814270628,0.810701652,0.776020379,0.787689712,,0.893315908,0.883824982,0.819502389,0.777967166,0.70595776,0.732491189,0.712062809,0.710800207
-300,0.939114913,0.936514571,0.896495438,0.89471002,0.851073084,0.859350642,0.807489303,0.820068784,--,0.905283453,0.916927819,0.854939327,0.850841028,0.817169248,0.818543884,0.805048431,0.795495779,,0.900336594,0.895472899,0.812861828,0.789511765,0.727758505,0.740892488,0.710674436,0.717624054
-310,0.950851533,0.945191053,0.916315212,0.901617138,0.880591545,0.867129289,0.821578728,0.830431402,--,0.923942007,0.928927394,0.880435744,0.861554147,0.836432727,0.826875983,0.786041347,0.803449151,,0.909421562,0.907071457,0.845864074,0.802245077,0.742094069,0.750402449,0.714780807,0.725186092
-320,0.947604204,0.952923581,0.909933388,0.908628806,0.884251381,0.874774815,0.836942421,0.840327067,--,0.923532975,0.939299476,0.880224399,0.872362275,0.856295117,0.835547713,0.798354429,0.811526907,,0.933283166,0.917983045,0.861093588,0.81559027,0.781481021,0.760777234,0.742515067,0.733400839
-330,0.949115295,0.95958653,0.932728959,0.915578093,0.874571556,0.882272268,0.851860161,0.849802053,--,0.929735835,0.948064589,0.874166791,0.882928954,0.872339184,0.844408504,0.796149899,0.819693358,,0.947520072,0.927876511,0.858318491,0.82905729,0.784901474,0.771768779,0.755131017,0.742168366
-340,0.926380877,0.96522865,0.931144553,0.922330562,0.899654693,0.889599216,0.862564272,0.85889191,--,0.930778441,0.955392614,0.8820717,0.893018936,0.897039045,0.85331793,0.824237283,0.82790483,,0.953535018,0.936638554,0.866102729,0.84226436,0.796262677,0.783140252,0.775207408,0.751380617
-350,0.955747558,0.969971679,0.918285183,0.928788196,0.901313643,0.89673028,0.875425815,0.867623529,--,0.931703322,0.961498353,0.895146176,0.902486299,0.905675799,0.862152645,0.829019234,0.836113826,,0.954822368,0.944288159,0.877609241,0.854938537,0.818725544,0.794677273,0.788360862,0.76092709
-400,0.98693923,0.984629147,0.951339654,0.955299795,0.929403861,0.928702196,0.898948624,0.906463436,--,0.934126331,0.980068025,0.927232557,0.939347604,0.926070976,0.90234635,0.8450215,0.875556602,,0.960456921,0.969484547,0.931081095,0.906477985,0.827678273,0.849483995,0.825903222,0.810149814
-450,1.017961954,0.991551428,0.961613793,0.97286694,0.962075093,0.953768279,0.92039487,0.938069716,--,0.943977686,0.988586303,0.956859473,0.961913926,0.958463391,0.933116392,0.905020009,0.909551426,,1.005786349,0.981889602,0.943331876,0.939287586,0.892860546,0.893024113,0.87441384,0.855334357
-500,0.998969532,0.995345702,0.992863178,0.9843785,0.997188269,0.97257446,0.968847344,0.963336395,--,0.989131336,0.993098346,0.987422928,0.97582422,0.972561018,0.955214395,0.942951447,0.936823189,,0.987668822,0.988572495,0.947809726,0.959698278,0.894257115,0.924630732,0.887965983,0.892511067
